group,place,voicing,phon,session,vot,week
midd,bilabial,voiced,b,0,13.5418666666667,2015-06-25
midd,coronal,voiced,d,0,16.7942,2015-06-25
midd,velar,voiced,g,0,27.3598666666667,2015-06-25
midd,velar,voiceless,k,0,45.5389333333333,2015-06-25
midd,bilabial,voiceless,p,0,32.0649333333333,2015-06-25
midd,coronal,voiceless,t,0,33.7566666666667,2015-06-25
midd,bilabial,voiced,b,1,11.1130201342282,2015-07-01
midd,coronal,voiced,d,1,15.7846666666667,2015-07-01
midd,velar,voiced,g,1,24.9423489932886,2015-07-01
midd,velar,voiceless,k,1,50.3282666666667,2015-07-01
midd,bilabial,voiceless,p,1,34.6558666666667,2015-07-01
midd,coronal,voiceless,t,1,40.2872666666667,2015-07-01
midd,bilabial,voiced,b,2,8.29946666666667,2015-07-08
midd,coronal,voiced,d,2,11.8766,2015-07-08
midd,velar,voiced,g,2,20.8038255033557,2015-07-08
midd,velar,voiceless,k,2,42.6632666666667,2015-07-08
midd,bilabial,voiceless,p,2,28.5672666666667,2015-07-08
midd,coronal,voiceless,t,2,27.3723333333333,2015-07-08
midd,bilabial,voiced,b,3,-17.1506081081081,2015-07-15
midd,coronal,voiced,d,3,-14.9164666666667,2015-07-15
midd,velar,voiced,g,3,-2.06879194630873,2015-07-15
midd,velar,voiceless,k,3,35.3492666666667,2015-07-15
midd,bilabial,voiceless,p,3,23.2006,2015-07-15
midd,coronal,voiceless,t,3,27.703355704698,2015-07-15
midd,bilabial,voiced,b,4,-19.1496575342466,2015-07-22
midd,coronal,voiced,d,4,-18.9852666666667,2015-07-22
midd,velar,voiced,g,4,-8.36893333333333,2015-07-22
midd,velar,voiceless,k,4,42.0052,2015-07-22
midd,bilabial,voiceless,p,4,19.9180536912752,2015-07-22
midd,coronal,voiceless,t,4,23.8824,2015-07-22
midd,bilabial,voiced,b,5,-16.5652,2015-07-29
midd,coronal,voiced,d,5,-14.4143624161074,2015-07-29
midd,velar,voiced,g,5,-4.96,2015-07-29
midd,velar,voiceless,k,5,44.7748666666667,2015-07-29
midd,bilabial,voiceless,p,5,22.4636666666667,2015-07-29
midd,coronal,voiceless,t,5,26.2624666666667,2015-07-29
midd,bilabial,voiced,b,6,-24.9480666666667,2015-08-05
midd,coronal,voiced,d,6,-14.6588,2015-08-05
midd,velar,voiced,g,6,-10.4662416107383,2015-08-05
midd,velar,voiceless,k,6,40.3496666666667,2015-08-05
midd,bilabial,voiceless,p,6,21.4016891891892,2015-08-05
midd,coronal,voiceless,t,6,23.5812666666667,2015-08-05
bi,bilabial,voiced,b,0,-83.5872666666667,2015-06-25
bi,coronal,voiced,d,0,-84.4683108108108,2015-06-25
bi,velar,voiced,g,0,-69.9372916666667,2015-06-25
bi,velar,voiceless,k,0,31.1619047619048,2015-06-25
bi,bilabial,voiceless,p,0,16.5562,2015-06-25
bi,coronal,voiceless,t,0,14.8544666666667,2015-06-25
bi,bilabial,voiced,b,1,-83.5872666666667,2015-07-01
bi,coronal,voiced,d,1,-84.4683108108108,2015-07-01
bi,velar,voiced,g,1,-69.9372916666667,2015-07-01
bi,velar,voiceless,k,1,31.1619047619048,2015-07-01
bi,bilabial,voiceless,p,1,16.5562,2015-07-01
bi,coronal,voiceless,t,1,14.8544666666667,2015-07-01
bi,bilabial,voiced,b,2,-83.5872666666667,2015-07-08
bi,coronal,voiced,d,2,-84.4683108108108,2015-07-08
bi,velar,voiced,g,2,-69.9372916666667,2015-07-08
bi,velar,voiceless,k,2,31.1619047619048,2015-07-08
bi,bilabial,voiceless,p,2,16.5562,2015-07-08
bi,coronal,voiceless,t,2,14.8544666666667,2015-07-08
bi,bilabial,voiced,b,3,-83.5872666666667,2015-07-15
bi,coronal,voiced,d,3,-84.4683108108108,2015-07-15
bi,velar,voiced,g,3,-69.9372916666667,2015-07-15
bi,velar,voiceless,k,3,31.1619047619048,2015-07-15
bi,bilabial,voiceless,p,3,16.5562,2015-07-15
bi,coronal,voiceless,t,3,14.8544666666667,2015-07-15
bi,bilabial,voiced,b,4,-83.5872666666667,2015-07-22
bi,coronal,voiced,d,4,-84.4683108108108,2015-07-22
bi,velar,voiced,g,4,-69.9372916666667,2015-07-22
bi,velar,voiceless,k,4,31.1619047619048,2015-07-22
bi,bilabial,voiceless,p,4,16.5562,2015-07-22
bi,coronal,voiceless,t,4,14.8544666666667,2015-07-22
bi,bilabial,voiced,b,5,-83.5872666666667,2015-07-29
bi,coronal,voiced,d,5,-84.4683108108108,2015-07-29
bi,velar,voiced,g,5,-69.9372916666667,2015-07-29
bi,velar,voiceless,k,5,31.1619047619048,2015-07-29
bi,bilabial,voiceless,p,5,16.5562,2015-07-29
bi,coronal,voiceless,t,5,14.8544666666667,2015-07-29
bi,bilabial,voiced,b,6,-83.5872666666667,2015-08-05
bi,coronal,voiced,d,6,-84.4683108108108,2015-08-05
bi,velar,voiced,g,6,-69.9372916666667,2015-08-05
bi,velar,voiceless,k,6,31.1619047619048,2015-08-05
bi,bilabial,voiceless,p,6,16.5562,2015-08-05
bi,coronal,voiceless,t,6,14.8544666666667,2015-08-05
